game_id,season_id,year,phase,date,home_team,away_team,home_win,home_win_rate_10,home_runs_scored_10,home_runs_allowed_10,away_win_rate_10,away_runs_scored_10,away_runs_allowed_10,home_starter_ERA,home_starter_WHIP,home_starter_FIP,away_starter_ERA,away_starter_WHIP,away_starter_FIP,home_bullpen_ERA,home_bullpen_WHIP,away_bullpen_ERA,away_bullpen_WHIP,home_lineup_OPS,home_lineup_OBP,home_lineup_SLG,away_lineup_OPS,away_lineup_OBP,away_lineup_SLG,win_rate_diff,runs_scored_diff,run_diff_10,starter_ERA_diff,starter_WHIP_diff,starter_FIP_diff,lineup_OPS_diff,lineup_OBP_diff,lineup_SLG_diff,bullpen_ERA_diff,bullpen_WHIP_diff
6GSLX,CPBL-2026-oB,2026,一軍,2026-05-24,樂天桃猿,富邦悍將,1,0.4,2.7,2.7,0.8,6.1,2.8,4.61,1.683,3.071,2.077,1.5,3.229,2.544,1.0587499999999999,3.6552499999999997,1.41075,0.6636666666666666,0.3065555555555555,0.3572222222222222,0.6802222222222222,0.313,0.3671111111111111,-0.4,-3.3999999999999995,-3.3,2.5330000000000004,0.18300000000000005,-0.15799999999999992,-0.016555555555555546,-0.006444444444444475,-0.009888888888888892,-1.1112499999999996,-0.3520000000000001
CzvYx,CPBL-2026-oB,2026,一軍,2026-05-24,台鋼雄鷹,統一7-ELEVEn獅,0,0.5,2.3,2.7,0.3,2.2,4.2,7.714,3.0,6.855,6.75,1.544,5.115,2.5833333333333335,1.055,2.044,1.102142857142857,0.7046666666666667,0.3482222222222222,0.35655555555555557,0.6182222222222222,0.28922222222222227,0.32899999999999996,0.2,0.09999999999999964,1.5999999999999996,0.9640000000000004,1.456,1.7400000000000002,0.08644444444444443,0.05899999999999994,0.02755555555555561,0.5393333333333334,-0.04714285714285715
ShsaU,CPBL-2026-oB,2026,一軍,2026-05-24,中信兄弟,味全龍,0,0.3,2.7,4.9,0.7,3.5,2.1,6.171,1.343,4.084,2.634,1.049,3.071,4.75,1.264,1.4423333333333332,1.045,0.6507777777777778,0.32266666666666666,0.3281111111111111,0.6538888888888889,0.3102222222222222,0.34355555555555556,-0.39999999999999997,-0.7999999999999998,-3.6,3.5370000000000004,0.29400000000000004,1.0129999999999995,-0.0031111111111110645,0.01244444444444448,-0.015444444444444483,3.307666666666667,0.21900000000000008
2ILp1,CPBL-2026-oB,2026,一軍,2026-05-23,中信兄弟,味全龍,0,0.3,2.7,5.3,0.7,4.1,2.3,1.0,1.056,2.553,2.496,1.235,3.048,0.0,1.0,3.635,1.327,0.6643333333333333,0.3244444444444444,0.3398888888888889,0.7055555555555555,0.33511111111111114,0.37044444444444447,-0.39999999999999997,-1.3999999999999995,-4.3999999999999995,-1.496,-0.17900000000000005,-0.4950000000000001,-0.04122222222222216,-0.010666666666666713,-0.030555555555555558,-3.635,-0.32699999999999996
5pFWP,CPBL-2026-oB,2026,一軍,2026-05-23,樂天桃猿,富邦悍將,0,0.5,2.8,2.5,0.7,6.0,3.5,3.477,1.068,4.543,3.3,1.333,2.898,2.891666666666667,1.3056666666666665,1.1755,1.1764999999999999,0.5911111111111111,0.27444444444444444,0.31666666666666665,0.7967777777777777,0.3622222222222222,0.4345555555555556,-0.19999999999999996,-3.2,-2.2,0.17700000000000005,-0.2649999999999999,1.645,-0.20566666666666655,-0.08777777777777779,-0.11788888888888893,1.716166666666667,0.12916666666666665
umqEZ,CPBL-2026-oB,2026,一軍,2026-05-23,台鋼雄鷹,統一7-ELEVEn獅,1,0.4,2.3,3.1,0.4,2.3,4.0,3.712,1.275,2.398,1.649,0.985,2.906,1.107,0.8883333333333333,1.653,1.041,0.7021111111111111,0.33455555555555555,0.36777777777777776,0.637,0.29033333333333333,0.3467777777777778,0.0,0.0,0.8999999999999999,2.063,0.2899999999999999,-0.508,0.06511111111111112,0.04422222222222222,0.020999999999999963,-0.546,-0.15266666666666662
iofgh,CPBL-2026-oB,2026,一軍,2026-05-22,台鋼雄鷹,統一7-ELEVEn獅,1,0.4,2.6,3.0,0.4,2.3,3.9,1.8,0.971,2.512,2.455,1.217,2.872,1.1400000000000001,0.853,2.414,1.2494999999999998,0.7435555555555555,0.3671111111111111,0.37677777777777777,0.5472222222222222,0.25155555555555553,0.29577777777777775,0.0,0.30000000000000027,1.2000000000000002,-0.655,-0.2460000000000001,-0.3599999999999999,0.19633333333333336,0.11555555555555558,0.08100000000000002,-1.274,-0.39649999999999985
xSnE1,CPBL-2026-oB,2026,一軍,2026-05-22,中信兄弟,味全龍,0,0.4,3.1,4.6,0.6,3.5,2.3,3.0,1.104,2.289,0.614,1.091,2.009,3.0225999999999997,1.2606,1.6875,1.379,0.6511111111111112,0.31455555555555553,0.33644444444444443,0.6806666666666668,0.32755555555555554,0.35333333333333333,-0.19999999999999996,-0.3999999999999999,-2.6999999999999997,2.386,0.013000000000000123,0.28000000000000025,-0.029555555555555557,-0.013000000000000012,-0.016888888888888898,1.3350999999999997,-0.11840000000000006
TgAWc,CPBL-2026-oB,2026,一軍,2026-05-22,樂天桃猿,富邦悍將,1,0.4,2.6,3.0,0.8,6.0,3.3,2.967,1.055,3.196,1.884,1.07,2.742,2.9155,1.07675,3.5364999999999998,1.2715,0.6225555555555555,0.29033333333333333,0.33222222222222225,0.7723333333333334,0.3585555555555555,0.414,-0.4,-3.4,-3.1,1.0830000000000002,-0.015000000000000124,0.4540000000000002,-0.1497777777777779,-0.06822222222222218,-0.08177777777777773,-0.6209999999999996,-0.19474999999999998
r0AlK,CPBL-2026-oB,2026,一軍,2026-05-21,富邦悍將,統一7-ELEVEn獅,1,0.8,6.1,3.2,0.5,2.5,3.4,2.613,1.387,3.288,4.985,1.338,3.875,2.9090000000000003,1.3784999999999998,2.652,1.4195,0.7749999999999999,0.34755555555555556,0.42744444444444446,0.6318888888888889,0.28988888888888886,0.3417777777777778,0.30000000000000004,3.5999999999999996,3.7999999999999994,-2.3720000000000003,0.04899999999999993,-0.5870000000000002,0.14311111111111097,0.0576666666666667,0.08566666666666667,0.2570000000000001,-0.04100000000000015
