game_id,season_id,year,phase,group,date,started_at,ended_at,location,innings,audience,status,finished_status,home_team,home_team_id,away_team,away_team_id,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_scores,away_scores,winner_side,home_win
6GSLX,CPBL-2026-oB,2026,一軍,例行賽,2026-05-24,2026-05-24 17:05,2026-05-24 20:05,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,富邦悍將,H0zzP,4,1,8,6,1,0,"0,1,1,0,0,0,0,2,0","0,0,0,1,0,0,0,0,0",HOME,1
CzvYx,CPBL-2026-oB,2026,一軍,例行賽,2026-05-24,2026-05-24 16:05,2026-05-24 19:50,澄清湖棒球場,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,統一7-ELEVEn獅,NsGzj,5,7,12,12,1,1,"0,1,2,2,0,0,0,0,0","0,0,0,1,3,0,0,1,2",AWAY,0
ShsaU,CPBL-2026-oB,2026,一軍,例行賽,2026-05-24,2026-05-24 15:05,2026-05-24 17:50,臺北大巨蛋,9,,FINISHED,NORMAL,中信兄弟,RAe8S,味全龍,GJ5tu,0,5,6,10,0,0,"0,0,0,0,0,0,0,0,0","0,0,0,1,0,3,0,0,1",AWAY,0
2ILp1,CPBL-2026-oB,2026,一軍,例行賽,2026-05-23,2026-05-23 17:06,2026-05-23 19:09,臺北大巨蛋,9,,FINISHED,NORMAL,中信兄弟,RAe8S,味全龍,GJ5tu,0,2,5,5,0,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,2,0",AWAY,0
5pFWP,CPBL-2026-oB,2026,一軍,例行賽,2026-05-23,2026-05-23 17:05,2026-05-23 19:47,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,富邦悍將,H0zzP,1,3,8,9,1,0,"1,0,0,0,0,0,0,0,0","1,0,1,0,1,0,0,0,0",AWAY,0
umqEZ,CPBL-2026-oB,2026,一軍,例行賽,2026-05-23,2026-05-23 16:05,2026-05-23 18:07,澄清湖棒球場,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,統一7-ELEVEn獅,NsGzj,2,0,6,4,0,0,"0,0,0,2,0,0,0,0,0","0,0,0,0,0,0,0,0,0",HOME,1
iofgh,CPBL-2026-oB,2026,一軍,例行賽,2026-05-22,2026-05-22 18:36,2026-05-22 21:12,澄清湖棒球場,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,統一7-ELEVEn獅,NsGzj,3,1,8,7,0,1,"0,0,1,0,0,2,0,0,0","0,1,0,0,0,0,0,0,0",HOME,1
xSnE1,CPBL-2026-oB,2026,一軍,例行賽,2026-05-22,2026-05-22 18:35,2026-05-22 21:42,臺北大巨蛋,9,,FINISHED,NORMAL,中信兄弟,RAe8S,味全龍,GJ5tu,2,7,8,11,0,0,"0,0,1,0,0,0,0,1,0","0,0,0,1,0,0,0,0,6",AWAY,0
TgAWc,CPBL-2026-oB,2026,一軍,例行賽,2026-05-22,2026-05-22 18:35,2026-05-22 21:20,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,富邦悍將,H0zzP,3,2,8,6,0,0,"0,0,3,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0",HOME,1
r0AlK,CPBL-2026-oB,2026,一軍,例行賽,2026-05-21,2026-05-21 18:35,2026-05-21 21:35,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,統一7-ELEVEn獅,NsGzj,6,2,9,8,0,0,"3,2,0,0,0,0,1,0,0","0,0,0,0,0,0,0,0,2",HOME,1
91ohx,CPBL-2026-oB,2026,一軍,例行賽,2026-05-20,2026-05-20 18:35,2026-05-20 21:13,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,統一7-ELEVEn獅,NsGzj,9,2,11,5,0,2,"0,2,1,0,0,0,4,2,0","0,0,0,0,1,0,0,0,1",HOME,1
FT4zg,CPBL-2026-oB,2026,一軍,例行賽,2026-05-20,2026-05-20 18:35,2026-05-20 21:59,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,中信兄弟,RAe8S,9,7,13,10,1,1,"0,0,0,4,1,2,2,0,0","0,1,0,0,3,0,0,3,0",HOME,1
2jwzB,CPBL-2026-oB,2026,一軍,例行賽,2026-05-20,2026-05-20 18:35,2026-05-20 21:27,花蓮縣立德興棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,台鋼雄鷹,UuZ3x,5,2,9,8,0,2,"0,0,2,2,0,0,0,1,0","1,0,0,0,0,0,0,0,1",HOME,1
