game_id,season_id,year,date,side,team,team_id,order,is_starter,player_id,name,number,IP_out,BF,NP,H,HR,BB,SO,ER,R,HB,ERA,WHIP,FIP,WPA
6GSLX,CPBL-2026-oB,2026,2026-05-24,home,樂天桃猿,b7yJt,1,1,a5fxm,陳克羿,19,18,24,93,5,0,3,9,1,1,0,1.500,1.333,1.498,
6GSLX,CPBL-2026-oB,2026,2026-05-24,home,樂天桃猿,b7yJt,2,0,Am8Uy,蘇俊璋,00,3,3,10,0,0,0,1,0,0,0,2.919,0.973,1.538,
6GSLX,CPBL-2026-oB,2026,2026-05-24,home,樂天桃猿,b7yJt,3,0,V8XLP,陳冠宇,17,3,3,11,0,0,0,1,0,0,0,1.964,0.982,3.598,
6GSLX,CPBL-2026-oB,2026,2026-05-24,home,樂天桃猿,b7yJt,4,0,n6fv0,朱承洋,22,1,2,9,1,0,0,1,0,0,0,4.200,1.133,3.064,
6GSLX,CPBL-2026-oB,2026,2026-05-24,home,樂天桃猿,b7yJt,5,0,JYGnI,莊昕諺,77,2,2,5,0,0,0,0,0,0,0,0.600,1.000,3.464,
6GSLX,CPBL-2026-oB,2026,2026-05-24,away,富邦悍將,H0zzP,1,1,LE8GV,陳品宏,10,6,12,49,4,1,2,2,2,2,1,5.604,1.642,5.375,
6GSLX,CPBL-2026-oB,2026,2026-05-24,away,富邦悍將,H0zzP,2,0,sGfcd,江國豪,12,12,15,57,1,0,0,3,0,0,2,3.375,1.438,4.623,
6GSLX,CPBL-2026-oB,2026,2026-05-24,away,富邦悍將,H0zzP,3,0,J4GsF,李建勳,17,3,4,17,1,0,0,2,0,0,0,4.109,1.370,2.150,
6GSLX,CPBL-2026-oB,2026,2026-05-24,away,富邦悍將,H0zzP,4,0,5ZFTZ,李吳永勤,38,1,3,8,1,0,0,0,2,2,1,4.596,1.468,3.253,
6GSLX,CPBL-2026-oB,2026,2026-05-24,away,富邦悍將,H0zzP,5,0,CE17i,林栚呈,94,2,3,11,1,0,0,0,0,0,0,2.118,1.000,3.821,
CzvYx,CPBL-2026-oB,2026,2026-05-24,home,台鋼雄鷹,UuZ3x,1,1,JyP3r,陳正毅,11,12,22,77,8,0,2,0,2,4,0,5.684,2.684,5.366,
CzvYx,CPBL-2026-oB,2026,2026-05-24,home,台鋼雄鷹,UuZ3x,2,0,y5FKd,李欣穎,18,2,4,26,1,0,1,1,0,0,0,3.176,1.412,0.880,
CzvYx,CPBL-2026-oB,2026,2026-05-24,home,台鋼雄鷹,UuZ3x,3,0,Ych1T,許峻暘,84,4,4,22,0,0,0,0,0,0,0,1.500,0.667,2.164,
CzvYx,CPBL-2026-oB,2026,2026-05-24,home,台鋼雄鷹,UuZ3x,4,0,BdwFp,伍祐城,55,3,3,8,0,0,0,1,0,0,0,0.000,0.000,0.998,
CzvYx,CPBL-2026-oB,2026,2026-05-24,home,台鋼雄鷹,UuZ3x,5,0,FTjP8,韋宏亮,52,1,3,14,1,0,1,0,1,1,0,9.947,2.211,4.735,
