game_id,season_id,year,phase,date,group,team,team_id,side,opponent,runs_scored,runs_allowed,hits,errors,win
6GSLX,CPBL-2026-oB,2026,一軍,2026-05-24,例行賽,樂天桃猿,b7yJt,home,富邦悍將,4,1,8,1,1
6GSLX,CPBL-2026-oB,2026,一軍,2026-05-24,例行賽,富邦悍將,H0zzP,away,樂天桃猿,1,4,6,0,0
CzvYx,CPBL-2026-oB,2026,一軍,2026-05-24,例行賽,台鋼雄鷹,UuZ3x,home,統一7-ELEVEn獅,5,7,12,1,0
CzvYx,CPBL-2026-oB,2026,一軍,2026-05-24,例行賽,統一7-ELEVEn獅,NsGzj,away,台鋼雄鷹,7,5,12,1,1
ShsaU,CPBL-2026-oB,2026,一軍,2026-05-24,例行賽,中信兄弟,RAe8S,home,味全龍,0,5,6,0,0
ShsaU,CPBL-2026-oB,2026,一軍,2026-05-24,例行賽,味全龍,GJ5tu,away,中信兄弟,5,0,10,0,1
2ILp1,CPBL-2026-oB,2026,一軍,2026-05-23,例行賽,中信兄弟,RAe8S,home,味全龍,0,2,5,0,0
2ILp1,CPBL-2026-oB,2026,一軍,2026-05-23,例行賽,味全龍,GJ5tu,away,中信兄弟,2,0,5,0,1
5pFWP,CPBL-2026-oB,2026,一軍,2026-05-23,例行賽,樂天桃猿,b7yJt,home,富邦悍將,1,3,8,1,0
5pFWP,CPBL-2026-oB,2026,一軍,2026-05-23,例行賽,富邦悍將,H0zzP,away,樂天桃猿,3,1,9,0,1
umqEZ,CPBL-2026-oB,2026,一軍,2026-05-23,例行賽,台鋼雄鷹,UuZ3x,home,統一7-ELEVEn獅,2,0,6,0,1
umqEZ,CPBL-2026-oB,2026,一軍,2026-05-23,例行賽,統一7-ELEVEn獅,NsGzj,away,台鋼雄鷹,0,2,4,0,0
iofgh,CPBL-2026-oB,2026,一軍,2026-05-22,例行賽,台鋼雄鷹,UuZ3x,home,統一7-ELEVEn獅,3,1,8,0,1
iofgh,CPBL-2026-oB,2026,一軍,2026-05-22,例行賽,統一7-ELEVEn獅,NsGzj,away,台鋼雄鷹,1,3,7,1,0
xSnE1,CPBL-2026-oB,2026,一軍,2026-05-22,例行賽,中信兄弟,RAe8S,home,味全龍,2,7,8,0,0
xSnE1,CPBL-2026-oB,2026,一軍,2026-05-22,例行賽,味全龍,GJ5tu,away,中信兄弟,7,2,11,0,1
TgAWc,CPBL-2026-oB,2026,一軍,2026-05-22,例行賽,樂天桃猿,b7yJt,home,富邦悍將,3,2,8,0,1
TgAWc,CPBL-2026-oB,2026,一軍,2026-05-22,例行賽,富邦悍將,H0zzP,away,樂天桃猿,2,3,6,0,0
r0AlK,CPBL-2026-oB,2026,一軍,2026-05-21,例行賽,富邦悍將,H0zzP,home,統一7-ELEVEn獅,6,2,9,0,1
