rank_test_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_auc,mean_test_neg_brier,mean_fit_time,param_rf__n_estimators,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__max_features
1,0.6174405285655526,0.029759533571453188,0.6566364058000324,-0.2322228365826244,3.3696125149726868,1200,4,5,log2
2,0.6166833058255713,0.024279631477820786,0.6568051482211903,-0.23131292619600477,7.663461446762085,1200,4,20,0.4
3,0.6165351153503725,0.026112358641490013,0.6562480831288267,-0.23226423511348104,1.5044109225273132,500,4,1,log2
4,0.6154937469737123,0.026109738828277055,0.654811593181406,-0.23188264847505102,2.916005790233612,800,6,2,sqrt
5,0.6148717960399236,0.03230922515019806,0.6545371767845392,-0.2325704564771487,0.8651361465454102,300,4,10,log2
6,0.6144071144444387,0.027440539387242523,0.655005865223771,-0.2310324320645638,8.731558859348297,800,4,5,0.8
7,0.6143113470820079,0.023082207062878633,0.6441837053009595,-0.23401455189042966,4.699791789054871,300,10,1,0.6
8,0.6134926223661535,0.027729263168367244,0.6560299147107671,-0.2324715901902003,2.501314878463745,800,4,2,sqrt
9,0.6126046835218961,0.023440550155543784,0.654527653006242,-0.23121004882168184,3.0057879090309143,300,4,5,0.8
10,0.6123729609979851,0.028510358417307185,0.6575011658676622,-0.2311068741656851,10.466146886348724,1200,6,1,0.4
11,0.6122855891433718,0.033776833941425416,0.6561574459452255,-0.23233506187112873,0.6313173174858093,200,4,5,sqrt
12,0.6120021268619804,0.02478230498499885,0.650213192618259,-0.232786741381073,32.07457822561264,1200,,2,
13,0.6113820958311422,0.028584436961064396,0.6584286092007319,-0.23076893075015004,11.972448706626892,1200,4,2,0.4
14,0.6112274297510765,0.019201182580826915,0.652751362295662,-0.23201122039363808,2.5473825931549072,200,16,20,0.4
15,0.6106488230669506,0.026865155826824416,0.6550777443452553,-0.23180800272502583,5.187309205532074,1200,6,2,sqrt
15,0.6106488230669506,0.026865155826824416,0.6550777443452553,-0.23180800272502583,4.545427083969116,1200,6,2,log2
17,0.6102863844387636,0.03336916234000349,0.6537913204868289,-0.23208330669338567,1.7711515426635742,300,6,30,log2
17,0.6102863844387636,0.03336916234000349,0.6545103119302973,-0.23244978099835545,0.5862759351730347,200,4,30,sqrt
19,0.6097084611099252,0.029077421089670187,0.6527342210215666,-0.23200118685241553,6.03036230802536,500,6,15,0.8
20,0.609372575715766,0.021964974820605145,0.6557509666081955,-0.23122347985824765,11.161161184310913,1200,4,15,0.6
21,0.6089771082486841,0.026547832979057807,0.6516234706431143,-0.2322990127407331,5.756617844104767,500,12,30,0.8
22,0.6088547876522254,0.0352679608498724,0.6555019787416347,-0.23235289082528712,0.7911413311958313,300,4,20,log2
23,0.608673568338132,0.03801613029605619,0.6533149182430108,-0.23277879587876835,1.2283322215080261,500,4,30,log2
24,0.6086043542097289,0.026637860485969847,0.6470796039786497,-0.23397624710367398,6.89607173204422,300,10,5,
25,0.6077947083569796,0.018600902932055,0.6439544206987767,-0.23372557926777787,20.844185769557953,1200,12,1,0.6
